Construct,Indicator,Q2_predict,PLS_SEM_RMSE,PLS_SEM_MAE,Best_ML_Model,ML_RMSE,ML_MAE,ML_R2,ML_Q2,RMSE_Delta,Q2_Delta
AIGR,AIGR1,0.395,0.731,0.592,RidgeRegression,0.7532665532881774,0.61518107731459,0.3537993069006692,0.3537993069006692,-0.022266553288177393,-0.04120069309933083
AIGR,AIGR2,0.388,0.731,0.592,RidgeRegression,0.7389537394454055,0.6000926539494672,0.3708441279412742,0.3708441279412742,-0.007953739445405561,-0.01715587205872582
AIGR,AIGR3,0.401,0.758,0.609,RidgeRegression,0.7708086317857854,0.628145675630583,0.3776959957022558,0.3776959957022558,-0.012808631785785396,-0.023304004297744207
AIGR,AIGR4,0.376,0.739,0.608,RidgeRegression,0.748546969186244,0.6174127674996106,0.3554512019393622,0.3554512019393622,-0.009546969186243981,-0.020548798060637807
